Date,Month,Year,Cost,OrderDate
2010 Jul,7,2010,3143886,01/07/2010
2010 Aug,8,2010,2938041,01/08/2010
2010 Sep,9,2010,3831664,01/09/2010
2010 Oct,10,2010,3291086,01/10/2010
2010 Nov,11,2010,3529877,01/11/2010
2010 Dec,12,2010,5604703,01/12/2010
2011 Jan,1,2011,2718539,01/01/2011
2011 Feb,2,2011,2603662,01/02/2011
2011 Mar,3,2011,3455863,01/03/2011
2011 Apr,4,2011,3166031,01/04/2011
2011 May,5,2011,3034994,01/05/2011
2011 Jun,6,2011,3891277,01/06/2011
2011 Jul,7,2011,3246838,01/07/2011
2011 Aug,8,2011,2989790,01/08/2011
2011 Sep,9,2011,3874265,01/09/2011
2011 Oct,10,2011,3334249,01/10/2011
2011 Nov,11,2011,3598472,01/11/2011
2011 Dec,12,2011,6161989,01/12/2011
2012 Jan,1,2012,2788259,01/01/2012
2012 Feb,2,2012,2639219,01/02/2012
2012 Mar,3,2012,3675918,01/03/2012
2012 Apr,4,2012,2990366,01/04/2012
2012 May,5,2012,3052214,01/05/2012
2012 Jun,6,2012,3958009,01/06/2012
2012 Jul,7,2012,3266325,01/07/2012
2012 Aug,8,2012,3102287,01/08/2012
2012 Sep,9,2012,4072577,01/09/2012
2012 Oct,10,2012,3432379,01/10/2012
2012 Nov,11,2012,3576875,01/11/2012
2012 Dec,12,2012,6174724,01/12/2012
2013 Jan,1,2013,2814658,01/01/2013
2013 Feb,2,2013,2725583,01/02/2013
2013 Mar,3,2013,3605323,01/03/2013
2013 Apr,4,2013,2977263,01/04/2013
2013 May,5,2013,3151365,01/05/2013
2013 Jun,6,2013,4112217,01/06/2013
2013 Jul,7,2013,3331316,01/07/2013
2013 Aug,8,2013,3187395,01/08/2013
2013 Sep,9,2013,4227448,01/09/2013
2013 Oct ,10,2013,3444658,01/10/2013
2013 Nov,11,2013,3795876,01/11/2013
2013 Dec,12,2013,6385046,01/12/2013
2014 Jan,1,2014,3573493,01/01/2014
2014 Feb,2,2014,2683211,01/02/2014
2014 Mar,3,2014,3809839,01/03/2014
2014 Apr,4,2014,3246442,01/04/2014
2014 May,5,2014,3323915,01/05/2014
2014 Jun,6,2014,4327191,01/06/2014
2014 Jul,7,2014,3499089,01/07/2014
2014 Aug,8,2014,3490026,01/08/2014
2014 Sep,9,2014,4138276,01/09/2014
2014 Oct,10,2014,3531813,01/10/2014
2014 Nov,11,2014,3995932,01/11/2014
2014 Dec,12,2014,6582120,01/12/2014
2015 Jan,1,2015,2964845,01/01/2015
2015 Feb,2,2015,2885337,01/02/2015
2015 Mar,3,2015,3954623,01/03/2015
2015 Apr,4,2015,3400811,01/04/2015
2015 May,5,2015,3448047,01/05/2015
2015 Jun,6,2015,4572128,01/06/2015
2015 Jul,7,2015,3600430,01/07/2015
2015 Aug,8,2015,3563624,01/08/2015
2015 Sep,9,2015,4396420,01/09/2015
2015 Oct,10,2015,3589170,01/10/2015
2015 Nov,11,2015,4076193,01/11/2015
2015 Dec,12,2015,6274649,01/12/2015
2016 Jan,1,2016,2944328,01/01/2016
2016 Feb,2,2016,2761469,01/02/2016
2016 Mar,3,2016,3758694,01/03/2016
2016 Apr,4,2016,3122135,01/04/2016
2016 May,5,2016,3322795,01/05/2016
2016 Jun,6,2016,4261909,01/06/2016
2016 Jul,7,2016,3669199,01/07/2016
2016 Aug,8,2016,3448204,01/08/2016
2016 Sep,9,2016,4222776,01/09/2016
2016 Oct,10,2016,3707569,01/10/2016
2016 Nov,11,2016,4103498,01/11/2016
2016 Dec,12,2016,6405914,01/12/2016
2017 Jan,1,2017,3003788,01/01/2017
2017 Feb,2,2017,2894340,01/02/2017
2017 Mar,3,2017,4041072,01/03/2017
2017 Apr,4,2017,3460651,01/04/2017
2017 May,5,2017,3555581,01/05/2017
2017 Jun,6,2017,4663234,01/06/2017
2017 Jul,7,2017,3836882,01/07/2017
2017 Aug,8,2017,3729392,01/08/2017
2017 Sep,9,2017,4649213,01/09/2017
2017 Oct,10,2017,3754273,01/10/2017
2017 Nov,11,2017,4335022,01/11/2017
2017 Dec,12,2017,6687197,01/12/2017
2018 Jan,1,2018,3097349,01/01/2018
2018 Feb,2,2018,2943877,01/02/2018
2018 Mar,3,2018,4011252,01/03/2018
2018 Apr,4,2018,3408057,01/04/2018
2018 May,5,2018,3657182,01/05/2018
2018 Jun,6,2018,4680584,01/06/2018
2018 Jul,7,2018,3910314,01/07/2018
2018 Aug,8,2018,3690845,01/08/2018
2018 Sep,9,2018,4610813,01/09/2018
2018 Oct,10,2018,3761282,01/10/2018
2018 Nov,11,2018,4393317,01/11/2018
2018 Dec,12,2018,6870446,01/12/2018
2019 Jan,1,2019,3204144,01/01/2019
2019 Feb,2,2019,3033639,01/02/2019
2019 Mar,3,2019,4223819,01/03/2019
2019 Apr,4,2019,3707722,01/04/2019
2019 May,5,2019,3644173,01/05/2019
2019 Jun,6,2019,4840174,01/06/2019
2019 Jul,7,2019,3989013,01/07/2019
2019 Aug,8,2019,3803343,01/08/2019
2019 Sep,9,2019,4724181,01/09/2019
2019 Oct,10,2019,3853685,01/10/2019
2019 Nov,11,2019,4347121,01/11/2019
2019 Dec,12,2019,6716507,01/12/2019
2020 Jan,1,2020,4094822,01/01/2020
2020 Feb,2,2020,3059719,01/02/2020
2020 Mar,3,2020,2687830,01/03/2020
2020 Apr,4,2020,1133347,01/04/2020
2020 May,5,2020,1404438,01/05/2020
2020 Jun,6,2020,3122588,01/06/2020
2020 Jul,7,2020,3038867,01/07/2020
2020 Aug,8,2020,3212133,01/08/2020
2020 Sep,9,2020,4064527,01/09/2020
2020 Oct,10,2020,3349190,01/10/2020
2020 Nov,11,2020,2954347,01/11/2020
2020 Dec,12,2020,5532498,01/12/2020
2021 Jan,1,2021,1727442,01/01/2021
2021 Feb,2,2021,1461493,01/02/2021
2021 Mar,3,2021,2350612,01/03/2021
2021 Apr,4,2021,3425752,01/04/2021
2021 May,5,2021,3497557,01/05/2021
2021 Jun,6,2021,4481531,01/06/2021
2021 Jul,7,2021,3500201,01/07/2021
2021 Aug,8,2021,3472609,01/08/2021
2021 Sep,9,2021,4540351,01/09/2021
